"x","y","Astrocytes","OPCs","Proliferation","Macrophages/Microglia cells","Endothelial cells","Mesenchymal cells","Epithelial cells","Neutrophils"
8083,2522,0.00560136810215855,0.00459660350242449,0.000205791732292996,0.0963854193757147,0.27165982419021,0.00679368113017463,0.0117898678551169,0.602967444111908
7461,5759,0.0114088032856922,0.00175873918950377,0.000380423971410269,0.095717223592961,0.699645918868372,0.00608115536709437,0.00799877391490591,0.17700896181006
10147,7079,0.0181139342791641,0.0462173651654922,0.000530940570696838,0.218269581205413,0.111073286637423,0.032823882223454,0.0528768525500611,0.520094157368295
5672,1922,0.00159558696849466,0.000797647143904807,6.99359258439506e-05,0.201582612575356,0.242651750010127,0.00820706996502216,0.00848079025566284,0.536614607155588
6564,8036,0.01019872658968,0.000802417172953806,3.5040599871578e-05,0.0786252270532307,0.668749002716231,0.000847478789911317,0.00213380841707151,0.23860829866105
5394,5997,0.00123173843762745,0.000115321697871676,2.66771746122545e-06,0.0087293327037055,0.919127215913849,0.000294774415703518,0.00042884811528262,0.0700701009984989
8700,8636,0.0348145433676564,0.0139170210271423,0.00301718128224947,0.163847446596998,0.181294098035992,0.0164308195559096,0.0326623266580253,0.554016563476027
8703,2882,0.00485820296174248,0.00279684033252424,3.51212110306656e-05,0.0417815018147303,0.614438430613513,0.0029477464097974,0.00164095315929936,0.331501203497362
8770,5639,0.00648048782057348,0.000403739603264171,8.357016906113e-05,0.0679379459516277,0.73484853281473,0.000672134439471063,0.00258290465610379,0.186990684545168
5187,7796,0.00377996021270602,0.0103501873188357,0.00277486476968478,0.0536701345335131,0.306023045645491,0.00873814429885353,0.0351290070970216,0.579534656123894
10012,2523,0.0168581289633929,0.0329856208961606,0.0183336383264369,0.148002323425612,0.228120285805263,0.0216161061106169,0.0512913397191209,0.482792556753397
6911,3361,0.00135467344980231,0.00381226241413797,0.000155111913357339,0.178602918903162,0.412135335109582,0.00844202287951259,0.00931082293214148,0.386186852398304
6911,3840,0.00568124203999682,0.00183997842157129,0.000438889754907792,0.239247356582562,0.270293889137831,0.0120532981743248,0.0165905565564628,0.453854789332344
8497,1803,0.00917090425398379,0.0279707825082445,0.0120583588201011,0.117829990371673,0.123930725740511,0.0973661583325002,0.148065171398677,0.463607908574309
3604,3599,0.00251187016796233,0.000128067083790658,8.17892790352662e-08,0.0368966856916011,0.683236312497244,0.000135762208491064,6.8918915902552e-05,0.277022301645729
4223,4918,0.00235835793345417,1.61057060599073e-05,2.58375375425587e-06,0.0862548037029691,0.343604729129477,0.000925910253748771,0.000166533574960463,0.566670975945576
3742,3119,0.00397875397458654,0.000487605083951385,4.61189286701723e-05,0.0337650215227504,0.645893177582457,0.00138160703764175,0.00153327724450322,0.312914438625439
10215,9596,0.000927512458014254,0.00150022710215332,3.21703220355136e-05,0.0533156957121582,0.448284265525601,0.00075622106785717,0.00082109490132356,0.494362812910857
6082,8635,0.0207225323935547,0.00344897086420163,3.45036606115524e-05,0.175600706161452,0.45863140322113,0.00389916141476001,0.00536184303043694,0.332300879253854
7048,5758,0.00801829376187391,0.00104962255138489,1.34246728049446e-05,0.0509809527926202,0.693455446079674,0.00187342646181255,0.00102684421052679,0.243581989469303
4223,4678,0.0114267049329119,0.0111240608417522,7.56871642943191e-05,0.193014733299963,0.323906500585966,0.0184154824706611,0.0141887763858518,0.4278480543186
7668,5639,0.00587295821288831,0.00045540527734708,3.39962613915495e-05,0.0177803391656787,0.691604946486753,0.00176271558514456,0.000886466963708506,0.281603172047088
4361,6117,0.00344009590535377,0.024946744480107,0.00333966349315647,0.108702783063887,0.323533620940236,0.118894349686223,0.19283977366924,0.224302968761797
7875,5759,0.00301314929515189,0.000106386370414431,4.56224670363472e-09,0.0155880989026727,0.818408962672476,7.52197797389541e-05,2.91397527481498e-05,0.162779038664552
