"gene","avg_log2FC","pct.1","pct.2","diff.pct","p_val","p_val_adj","cluster"
"VEPH1",4.57852324046119,0.188,0.007,0.181,3.11596026825994e-221,7.39666648479544e-217,"5"
"AGT",4.53969750084491,0.358,0.013,0.345,0,0,"5"
"ANOS1",4.42275453954685,0.244,0.008,0.236,1.71860132831282e-302,4.07961583314896e-298,"5"
"VCAM1",4.34890116758274,0.399,0.015,0.384,0,0,"5"
"ABCC9",4.30477338167789,0.254,0.01,0.244,9.38387745985012e-288,2.22754483141922e-283,"5"
"TRIM47",4.2293991958601,0.351,0.016,0.335,0,0,"5"
"F3",4.21325085697422,0.712,0.044,0.668,0,0,"5"
"AQP1",4.197238156078,0.248,0.016,0.232,8.90250224856352e-230,2.11327598376401e-225,"5"
"BBOX1",4.11882483557469,0.307,0.009,0.298,0,0,"5"
"NNMT",4.09759316459789,0.286,0.02,0.266,5.92960560826451e-258,1.40756977928983e-253,"5"
"RP11-403A3.2",4.05293799225636,0.132,0.005,0.127,1.84095174442253e-153,4.37005125091021e-149,"5"
"LIX1",4.04058966417115,0.113,0.004,0.109,2.32358026396523e-131,5.51571483060067e-127,"5"
"SLCO1C1",4.00236728447058,0.126,0.005,0.121,3.22081226316631e-143,7.64556415030418e-139,"5"
"RPE65",3.96601081949611,0.487,0.027,0.46,0,0,"5"
"RP11-261N11.14",3.93973798789525,0.139,0.006,0.133,1.21659970795229e-155,2.88796438673714e-151,"5"
"C1R",3.87740257489852,0.306,0.015,0.291,0,0,"5"
"PIFO",3.87188165007174,0.127,0.004,0.123,2.99001415973099e-155,7.09769561236941e-151,"5"
"RP11-403A3.3",3.83469954341065,0.268,0.013,0.255,2.71565564223237e-286,6.44642336353119e-282,"5"
"GFAP",3.7985223156296,0.929,0.142,0.787,0,0,"5"
"EDNRB",3.79307238323902,0.652,0.058,0.594,0,0,"5"
"NPNT",3.773126232473,0.148,0.007,0.141,2.74445800373763e-156,6.51479440927239e-152,"5"
"SPARCL1",3.76848013398226,0.888,0.155,0.733,0,0,"5"
"CLU",3.75183918262482,0.996,0.378,0.618,0,0,"5"
"KIF20A",6.23484477196927,0.223,0.004,0.219,0,0,"6"
"NEK2",5.96829832367289,0.325,0.007,0.318,0,0,"6"
"CCNB1",5.69952709365499,0.6,0.023,0.577,0,0,"6"
"PLK1",5.52585190919981,0.357,0.009,0.348,0,0,"6"
"PIF1",5.47935240790075,0.263,0.005,0.258,0,0,"6"
"CDC20",5.44059018722631,0.553,0.022,0.531,0,0,"6"
"FAM83D",5.25674926210259,0.171,0.004,0.167,3.71552584189301e-219,8.81991524348563e-215,"6"
"BUB1",5.17890233001583,0.509,0.024,0.485,0,0,"6"
"DLGAP5",5.03301359514949,0.583,0.029,0.554,0,0,"6"
"AURKA",5.01884264029608,0.531,0.027,0.504,0,0,"6"
"NMU",4.97491527747798,0.154,0.004,0.15,2.10978568676937e-197,5.00820926325313e-193,"6"
