"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diff.pct"
3.33711267213395e-31,1.78787091284696,0.519,0.308,7.85055756119512e-27,"8","FABP7",0.211
5.69637364169759e-33,1.75247673062515,0.461,0.246,1.34007189920936e-28,"8","NQO1",0.215
5.42648091885783e-08,1.68093815227024,0.18,0.103,0.00127657963616131,"8","CRYM",0.077
1.23143505485515e-06,1.57146495732092,0.112,0.057,0.0289695096654674,"8","TNFAIP6",0.055
1.79197921953782e-30,1.54976052707942,0.466,0.247,4.21563111396271e-26,"8","TDO2",0.219
6.9772930552364e-07,1.49309164030191,0.122,0.062,0.0164140819124436,"8","A2M",0.06
7.01697693711058e-79,1.46789107762369,0.86,0.492,1.65074382445526e-74,"8","IFITM3",0.368
3.21891669117685e-42,1.40755852179101,0.633,0.369,7.57250151599353e-38,"8","LGALS3",0.264
3.80457553211244e-77,1.40474420556175,0.943,0.848,8.95026393929452e-73,"8","FTH1",0.095
1.08178289092807e-47,1.39640968574911,0.666,0.383,2.5448942509083e-43,"8","CRYAB",0.283
1.81828783026419e-08,1.33520380185628,0.272,0.18,0.000427752212069651,"8","FRZB",0.092
2.04977018355563e-28,1.33040631717389,0.648,0.476,4.82208435681463e-24,"8","LGALS1",0.172
4.42297099492259e-10,1.31299231069316,0.429,0.355,1.04050392655554e-05,"8","PIK3R1",0.074
3.84891565308344e-48,1.30270503832854,0.793,0.503,9.05457407387879e-44,"8","SPARCL1",0.29
1.65191837767633e-08,1.27670792186409,0.397,0.322,0.000388613798348356,"8","RAB13",0.075
1.92203996113424e-14,1.25230265697728,0.399,0.27,4.52159900856829e-10,"8","IL33",0.129
1.22700497532567e-07,1.24060080394625,0.314,0.235,0.00288652920445364,"8","QPRT",0.079
8.43441626339992e-12,1.23991329177288,0.426,0.331,1.98419642596483e-07,"8","REXO2",0.095
5.02091801722931e-13,1.23891991304921,0.454,0.361,1.1811709635532e-08,"8","UQCR10",0.093
1.08610392199795e-10,1.16264704051565,0.384,0.288,2.55505947650017e-06,"8","PSMB9",0.096
0,4.45840571536134,0.679,0.033,0,"9","HMMR",0.646
1.20631770616978e-231,4.34470509617728,0.288,0.009,2.8378624037644e-227,"9","KIF20A",0.279
0,4.22800070452062,0.692,0.049,0,"9","AURKA",0.643
0,4.1236311810819,0.65,0.03,0,"9","DLGAP5",0.62
0,4.07467983757728,0.512,0.021,0,"9","DEPDC1",0.491
0,3.92716372172382,0.521,0.024,0,"9","CDCA8",0.497
0,3.92113574227171,0.579,0.023,0,"9","KIF2C",0.556
0,3.89170869690732,0.821,0.056,0,"9","KIF4A",0.765
0,3.86101475671113,0.45,0.018,0,"9","CEP55",0.432
0,3.85126119279977,0.642,0.041,0,"9","UBE2C",0.601
2.34720366364312e-238,3.79311149293897,0.558,0.046,5.52179661872045e-234,"9","CCNB1",0.512
2.60522534080112e-278,3.78759339346967,0.433,0.02,6.12879261423464e-274,"9","GTSE1",0.413
